"","coordinatorCountry","countryName","coordinator","totalCost","latitude","longitude"
"96","AT","Austria","EUTEMA GMBH","1256500",47.33333,13.33333
"97","AT","Austria","ENERGIEINSTITUT AN DER JOHANNES KEPLER UNIVERSITAT LINZ VEREIN","1997325",47.33333,13.33333
"98","AT","Austria","MEDIZINISCHE UNIVERSITAT INNSBRUCK","2999287.5",47.33333,13.33333
"99","AT","Austria","USOUND GMBH","71429",47.33333,13.33333
"100","AT","Austria","UNIVERSITAET FUER BODENKULTUR WIEN","5243123.75",47.33333,13.33333
"101","AT","Austria","SYNYO GmbH","1342844",47.33333,13.33333
"102","AT","Austria","UNIVERSITAT WIEN","178156.8",47.33333,13.33333
"103","AT","Austria","SZELESTIM GMBH","71429",47.33333,13.33333
"104","AT","Austria","UNIVERSITAT WIEN","1998566.25",47.33333,13.33333
"105","AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN","2499875",47.33333,13.33333
"106","AT","Austria","DECIDE CLINICAL SOFTWARE GMBH","71429",47.33333,13.33333
"107","AT","Austria","Kompetenzzentrum - Das Virtuelle Fahrzeug, Forschungsgesellschaft mbH","7916441.25",47.33333,13.33333
"108","AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN","166156.8",47.33333,13.33333
"109","AT","Austria","G.TEC MEDICAL ENGINEERING GMBH","2664250",47.33333,13.33333
"110","AT","Austria","VETERINAERMEDIZINISCHE UNIVERSITAET WIEN","166156.8",47.33333,13.33333
"111","AT","Austria","AVL LIST GMBH","4889290",47.33333,13.33333
"112","AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH","2500000",47.33333,13.33333
"113","AT","Austria","UNIVERSITAT WIEN","178156.8",47.33333,13.33333
"114","AT","Austria","ZENTRUM FUR SOZIALE INNOVATION GMBH","999933.75",47.33333,13.33333
"115","AT","Austria","MEDIZINISCHE UNIVERSITAT INNSBRUCK","2355000",47.33333,13.33333
"116","AT","Austria","INSTITUT FUER HOEHERE STUDIEN - INSTITUTE FOR ADVANCED STUDIES","6799943",47.33333,13.33333
"117","AT","Austria","LKR LEICHTMETALL KOMPETENZZENTRUM RANSHOFEN GMBH","1366410",47.33333,13.33333
"118","AT","Austria","UNIVERSITAT LINZ","100000",47.33333,13.33333
"119","AT","Austria","INSTITUT FUER HOEHERE STUDIEN - INSTITUTE FOR ADVANCED STUDIES","178156.8",47.33333,13.33333
